Provinsi,Kabupaten/Kota,Indeks Ketahanan Pangan (IKP),,,,Kriteria Kerentanan Pangan,,,,Produktivitas Padi (ku/ha) (Ku/ha),,,,Luas Panen Padi (ku/ha) (Ku/ha),,,,Indeks Pembangunan Manusia,,,,Rata-Rata Lama Sekolah,,,,Indeks Pembangunan Gender,,,,Angka Partisipasi Murni SD,,,,Angka Partisipasi Murni SMP,,,,Persentase Akses Sanitasi Layak,,,,Angka Harapan Hidup,,,,Indeks Kesehatan,,,,Akses ke Sarana Kesehatan,,,,Asuransi Jaminan Kesehatan BPJS,,,
,,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025
Aceh,Simeulue,74.63,72.51,77.54,62.12,5,5,4,4,25.50,38.13,34.22,33.07,4568.38,5780.84,6809.33,7485.00,69.17,69.98,70.95,71.94,9.73,9.81,9.89,10.09,78.87,79.41,79.87,80.26,99.87,99.60,99.60,97.20,94.92,89.52,86.92,90.16,70.21,72.67,76.51,,69.44,69.57,69.69,69.92,0.76,0.76,0.76,0.77,,,96,114,98.95,,,
,Aceh Singkil,51.88,47.06,46.10,56.42,3,2,3,3,55.26,45.55,37.90,38.23,398.80,568.49,477.29,291.00,70.61,71.14,71.76,72.62,8.69,8.70,8.72,9.05,84.97,85.23,85.50,85.75,99.36,99.37,99.34,99.19,87.88,88.13,84.54,88.04,78.92,67.93,63.22,,69.72,69.85,69.96,70.15,0.76,0.77,0.77,0.77,,,74,74,94.27,,,
,Aceh Selatan,71.02,71.11,73.84,77.25,5,5,5,5,44.67,49.11,46.44,55.34,6780.36,9437.58,8660.18,8582.00,70.56,71.14,71.82,72.79,8.89,8.91,8.92,9.25,91.99,92.12,92.39,92.79,99.92,99.25,97.63,97.03,91.37,82.79,80.02,83.35,70.83,74.54,77.96,,70.15,70.33,70.49,70.81,0.77,0.77,0.78,0.78,,,135,176,95.25,,,
,Aceh Tenggara,77.39,78.47,76.87,69.16,6,6,4,4,65.72,58.99,62.25,63.08,10572.44,10809.75,11780.75,10322.00,72.18,72.93,73.59,74.36,9.92,10.09,10.10,10.39,93.11,93.28,93.38,93.72,99.99,99.82,98.39,95.03,97.40,83.28,86.69,79.32,62.88,65.08,64.01,,72.43,72.62,72.75,73.01,0.81,0.81,0.81,0.82,,,86,84,93.93,,,
,Aceh Timur,76.55,75.78,77.19,65.17,6,6,4,4,53.00,51.71,51.55,51.05,24556.61,20932.84,28474.38,29390.00,70.13,70.73,71.29,72.20,8.32,8.47,8.48,8.80,86.50,86.98,87.33,87.75,97.51,97.28,96.31,95.04,87.43,86.68,85.80,83.67,69.06,70.01,73.59,,72.00,72.13,72.24,72.45,0.80,0.80,0.80,0.81,,,147,150,97.58,,,
,Aceh Tengah,63.93,65.57,69.08,74.61,4,4,5,5,48.77,47.79,54.83,60.87,2821.09,2768.66,2973.25,2486.00,75.79,76.45,77.27,78.09,9.87,9.89,10.03,10.35,97.35,97.50,98.03,98.20,99.25,99.46,97.89,97.42,85.92,86.89,85.94,77.18,89.69,92.61,86.34,,72.81,72.93,73.04,73.29,0.81,0.81,0.82,0.82,,,85,90,96.25,,,
,Aceh Barat,77.56,79.95,78.27,73.88,6,6,5,5,49.70,52.08,54.82,53.53,12703.03,10428.34,12393.78,15155.00,74.09,74.62,75.45,76.30,9.87,9.98,9.99,10.27,85.98,86.36,86.72,87.22,99.52,99.47,98.16,97.52,87.40,79.58,85.51,82.01,88.39,90.16,91.09,,71.76,71.89,72.03,72.31,0.80,0.80,0.80,0.80,,,92,101,97.93,,,
,Aceh Besar,81.49,85.62,84.72,73.55,6,6,5,5,56.37,51.81,51.82,55.36,35497.59,29496.99,34411.09,29943.00,75.44,75.98,76.57,77.46,10.35,10.36,10.37,10.69,95.22,95.29,95.60,96.01,99.13,99.00,99.07,97.14,85.11,86.53,86.23,83.94,83.49,89.07,90.30,,72.97,73.11,73.24,73.51,0.81,0.82,0.82,0.82,,,166,158,95.78,,,
,Pidie,72.52,75.69,76.69,63.35,5,6,4,4,60.46,64.48,62.62,61.99,31167.20,35041.24,38255.8,43252.00,72.49,72.95,73.60,74.46,9.02,9.03,9.04,9.37,93.81,93.92,94.02,94.04,97.51,97.82,95.96,95.29,84.58,85.28,82.30,76.26,54.68,60.36,63.88,,69.75,69.88,69.99,70.19,0.77,0.77,0.77,0.77,,,148,138,97.26,,,
,Bireuen,78.79,81.34,80.83,76.22,6,6,5,5,60.88,60.01,60.71,57.91,22512.74,22234.26,26385.77,21188.00,74.10,74.56,75.39,76.29,9.31,9.32,9.59,9.92,95.01,95.08,95.51,95.52,98.63,98.30,98.33,97.11,83.78,81.51,81.31,77.09,85.39,84.96,88.26,,73.50,73.66,73.82,74.13,0.82,0.83,0.83,0.83,,,161,136,97.00,,,
,Aceh Utara,75.85,76.66,77.12,65.07,6,6,4,4,59.76,53.78,56.09,58.40,54188.72,44037.18,61388.38,52937.00,71.85,72.50,73.35,74.29,8.73,8.85,9.11,9.38,92.85,93.30,93.45,93.47,99.15,99.35,97.93,96.90,86.10,89.15,87.56,82.88,78.92,77.95,80.63,,72.50,72.63,72.75,73.01,0.81,0.81,0.81,0.82,,,189,182,97.48,,,
,Aceh Barat Daya,75.91,76.93,78.05,68.91,6,6,4,4,57.85,54.53,55.15,66.77,11814.76,9821.66,11834.21,11895.00,69.79,70.47,71.16,72.10,8.68,8.77,8.78,9.11,89.96,90.27,90.56,90.96,98.34,98.62,98.64,94.89,81.23,64.29,70.10,80.66,65.94,64.69,69.39,,70.28,70.47,70.63,70.95,0.77,0.78,0.78,0.78,,,66,62,99.13,,,
,Gayo Lues,72.31,75.49,77.06,72.05,5,5,5,5,58.15,57.08,51.46,49.20,4924.05,4853.1,4461.97,4695.00,70.12,70.82,71.75,72.61,8.41,8.42,8.44,8.75,89.48,89.63,90.17,90.84,99.94,99.50,98.40,95.43,97.70,92.81,90.38,95.17,46.33,46.05,49.79,,69.64,69.80,69.92,70.12,0.76,0.77,0.77,0.77,,,62,65,91.44,,,
,Aceh Tamiang,79.33,81.41,81.16,78.20,6,6,6,6,37.12,44.73,47.48,49.99,16139.14,14641.18,14990.98,14338.00,72.08,73.02,74.00,74.78,9.04,9.24,9.30,9.42,82.09,82.38,83.08,83.77,99.99,99.64,98.05,94.44,94.07,88.47,86.17,75.84,82.74,78.61,85.93,,73.46,73.63,73.79,74.12,0.82,0.83,0.83,0.83,,,86,96,89.03,,,
,Nagan Raya,74.47,76.29,76.60,74.36,5,6,5,5,49.51,46.92,38.66,45.19,6501.18,8753.48,9234.82,6284.00,71.46,72.15,73.10,73.87,8.95,8.96,9.25,9.57,90.82,91.02,91.41,91.43,97.79,98.16,98.12,98.72,82.06,79.24,77.46,78.45,79.97,82.72,87.32,,72.39,72.53,72.67,72.95,0.81,0.81,0.81,0.81,,,99,102,98.49,,,
,Aceh Jaya,77.41,80.22,79.69,81.09,6,6,6,6,43.42,59.63,53.86,60.33,9853.90,9029.91,9772.05,7570.00,71.92,72.44,73.40,74.20,8.72,8.74,9.02,9.34,89.62,89.80,90.14,90.33,99.59,99.42,98.28,99.05,82.68,82.21,74.51,71.09,78.05,78.83,82.31,,70.62,70.76,70.89,71.15,0.78,0.78,0.78,0.79,,,60,51,98.83,,,
,Bener Meriah,48.14,45.67,46.98,69.88,2,2,5,5,53.99,55.02,48.93,51.81,317.77,311.74,287.83,281.00,75.46,76.06,76.58,77.48,10.01,10.12,10.13,10.41,96.79,96.76,96.87,97.26,99.13,98.89,97.03,98.18,90.30,89.80,90.06,89.31,81.56,87.04,88.05,,72.69,72.85,73.00,73.27,0.81,0.81,0.82,0.82,,,64,66,96.15,,,
,Pidie Jaya,76.06,77.69,78.95,65.84,6,6,4,4,68.35,71.22,67.70,71.86,12943.74,11855.8,15204.8,13389.00,75.59,76.04,76.39,77.04,9.53,9.58,9.59,9.80,94.99,95.27,95.54,95.62,99.54,99.08,97.66,97.10,88.19,77.23,78.89,83.53,73.49,78.07,80.82,,72.98,73.16,73.31,73.62,0.82,0.82,0.82,0.82,,,53,57,96.94,,,
,Kota Banda Aceh,84.36,86.97,87.96,76.10,6,6,5,5,55.83,49.41,50.79,50.68,13.07,10.09,12.89,16.00,87.92,88.32,88.85,89.55,13.03,13.04,13.10,13.37,95.91,96.19,97.11,97.34,99.92,99.73,99.70,98.26,93.63,79.67,82.46,90.16,96.88,99.91,99.39,,74.80,75.02,75.25,75.74,0.84,0.85,0.85,0.86,,,144,159,90.70,,,
